topology,alpha,seed,spectral_gap,round,avg_acc,worst_acc
hybrid,0.5,0,0.053775826240683555,20,0.8626699999999999,0.8311
hybrid,0.5,0,0.053775826240683555,25,0.8727,0.8382
hybrid,0.5,0,0.053775826240683555,30,0.8712899999999999,0.8301
hybrid,0.5,0,0.053775826240683555,35,0.87721,0.8414
hybrid,0.5,0,0.053775826240683555,40,0.8775000000000001,0.8418
hybrid,0.5,0,0.053775826240683555,45,0.88354,0.8552
hybrid,0.5,0,0.053775826240683555,50,0.8797,0.8466
hybrid,0.5,1,0.053775826240683555,5,0.82744,0.7895
hybrid,0.5,1,0.053775826240683555,10,0.8586500000000001,0.8132
hybrid,0.5,1,0.053775826240683555,15,0.8720800000000001,0.8375
hybrid,0.5,1,0.053775826240683555,20,0.87424,0.8278
hybrid,0.5,1,0.053775826240683555,25,0.8830899999999999,0.8484
hybrid,0.5,1,0.053775826240683555,30,0.8818999999999999,0.8392
hybrid,0.5,1,0.053775826240683555,35,0.8859199999999999,0.847
hybrid,0.5,1,0.053775826240683555,40,0.8849,0.8491
hybrid,0.5,1,0.053775826240683555,45,0.8842399999999999,0.833
hybrid,0.5,1,0.053775826240683555,50,0.88819,0.8612
hybrid,0.5,2,0.053775826240683555,5,0.8068799999999999,0.7616
hybrid,0.5,2,0.053775826240683555,10,0.8538600000000001,0.8116
hybrid,0.5,2,0.053775826240683555,15,0.8704599999999999,0.8341
hybrid,0.5,2,0.053775826240683555,20,0.8787100000000001,0.8546
hybrid,0.5,2,0.053775826240683555,25,0.8836299999999999,0.8465
hybrid,0.5,2,0.053775826240683555,30,0.88487,0.8559
hybrid,0.5,2,0.053775826240683555,35,0.8871,0.8539
hybrid,0.5,2,0.053775826240683555,40,0.88774,0.8551
hybrid,0.5,2,0.053775826240683555,45,0.8876899999999999,0.8653
hybrid,0.5,2,0.053775826240683555,50,0.8884000000000001,0.8689
hybrid,0.5,3,0.053775826240683555,5,0.82189,0.8017
hybrid,0.5,3,0.053775826240683555,10,0.8636900000000001,0.8452
hybrid,0.5,3,0.053775826240683555,15,0.87317,0.8535
hybrid,0.5,3,0.053775826240683555,20,0.8794299999999999,0.8653
hybrid,0.5,3,0.053775826240683555,25,0.88709,0.8706
hybrid,0.5,3,0.053775826240683555,30,0.8877900000000001,0.8768
hybrid,0.5,3,0.053775826240683555,35,0.88893,0.8732
hybrid,0.5,3,0.053775826240683555,40,0.89076,0.8797
hybrid,0.5,3,0.053775826240683555,45,0.8891500000000001,0.8763
hybrid,0.5,3,0.053775826240683555,50,0.89028,0.8788
hybrid,0.5,4,0.053775826240683555,5,0.80511,0.771
hybrid,0.5,4,0.053775826240683555,10,0.84329,0.8084
hybrid,0.5,4,0.053775826240683555,15,0.86326,0.8306
hybrid,0.5,4,0.053775826240683555,20,0.8716799999999999,0.8425
hybrid,0.5,4,0.053775826240683555,25,0.8810800000000001,0.869
hybrid,0.5,4,0.053775826240683555,30,0.87881,0.8615
hybrid,0.5,4,0.053775826240683555,35,0.8815799999999999,0.8602
hybrid,0.5,4,0.053775826240683555,40,0.8804299999999999,0.8538
hybrid,0.5,4,0.053775826240683555,45,0.88802,0.8694
hybrid,0.5,4,0.053775826240683555,50,0.88371,0.8567
hybrid,0.5,5,0.053775826240683555,5,0.8201,0.7737
hybrid,0.5,5,0.053775826240683555,10,0.86249,0.8392
hybrid,0.5,5,0.053775826240683555,15,0.87249,0.8264
hybrid,0.5,5,0.053775826240683555,20,0.8783099999999999,0.837
hybrid,0.5,5,0.053775826240683555,25,0.8814,0.8602
hybrid,0.5,5,0.053775826240683555,30,0.88874,0.8719
hybrid,0.5,5,0.053775826240683555,35,0.88879,0.8621
hybrid,0.5,5,0.053775826240683555,40,0.8902599999999999,0.8698
hybrid,0.5,5,0.053775826240683555,45,0.8928200000000001,0.8774
hybrid,0.5,5,0.053775826240683555,50,0.89032,0.8724
hybrid,0.5,6,0.053775826240683555,5,0.8061400000000001,0.732
hybrid,0.5,6,0.053775826240683555,10,0.8547499999999999,0.7845
hybrid,0.5,6,0.053775826240683555,15,0.8617699999999999,0.8021
hybrid,0.5,6,0.053775826240683555,20,0.8760899999999999,0.8136
hybrid,0.5,6,0.053775826240683555,25,0.87941,0.8258
hybrid,0.5,6,0.053775826240683555,30,0.88737,0.8382
hybrid,0.5,6,0.053775826240683555,35,0.88634,0.8384
hybrid,0.5,6,0.053775826240683555,40,0.8923500000000001,0.8645
hybrid,0.5,6,0.053775826240683555,45,0.8918099999999999,0.8538
